classification_type,glcm_feature,additional_feature,C,max_iter,penalty,solver,max_no_of_rois
ptc_vs_mibc,homogeneity,average_generation_absolute_distance_results,0.0001,100,l2,lbfgs,50
cancer_invasion,homogeneity,average_mean_absolute_distance_results,0.004832930238571752,100,l2,sag,50
cancer_stage,homogeneity,average_mean_absolute_distance_results,0.004832930238571752,100,l2,lbfgs,50
early_vs_late_stage,homogeneity,average_mean_absolute_distance_results,0.0006951927961775605,100,l2,sag,50
ptc_vs_mibc,homogeneity,average_mean_absolute_distance_results,0.0001,100,l2,lbfgs,50
cancer_invasion,contrast,,11.288378916846883,1000,l2,sag,10
cancer_stage,contrast,,11.288378916846883,100,l1,liblinear,10
early_vs_late_stage,contrast,,206.913808111479,100,l2,lbfgs,10
ptc_vs_mibc,contrast,,78.47599703514607,500,l1,liblinear,10
cancer_invasion,contrast,average_best_absolute_distance_results,0.0006951927961775605,100,l2,sag,10
cancer_stage,contrast,average_best_absolute_distance_results,0.012742749857031334,100,l2,saga,10
early_vs_late_stage,contrast,average_best_absolute_distance_results,0.00026366508987303583,100,l2,sag,10
ptc_vs_mibc,contrast,average_best_absolute_distance_results,0.0001,100,l2,lbfgs,10
cancer_invasion,contrast,average_generation_absolute_distance_results,0.0001,100,l2,lbfgs,10
cancer_stage,contrast,average_generation_absolute_distance_results,0.0006951927961775605,100,l2,lbfgs,10
early_vs_late_stage,contrast,average_generation_absolute_distance_results,0.0006951927961775605,100,l2,saga,10
ptc_vs_mibc,contrast,average_generation_absolute_distance_results,0.0018329807108324356,100,l2,saga,10
cancer_invasion,contrast,average_mean_absolute_distance_results,0.0006951927961775605,100,l2,sag,10
cancer_stage,contrast,average_mean_absolute_distance_results,0.0018329807108324356,100,l2,saga,10
early_vs_late_stage,contrast,average_mean_absolute_distance_results,0.0018329807108324356,100,l2,saga,10
ptc_vs_mibc,contrast,average_mean_absolute_distance_results,0.0018329807108324356,100,l2,saga,10
cancer_invasion,contrast,,11.288378916846883,1000,l2,sag,20
cancer_stage,contrast,,11.288378916846883,100,l1,liblinear,20
early_vs_late_stage,contrast,,206.913808111479,100,l2,lbfgs,20
ptc_vs_mibc,contrast,,78.47599703514607,500,l1,liblinear,20
cancer_invasion,contrast,average_best_absolute_distance_results,0.0018329807108324356,100,l2,saga,20
cancer_stage,contrast,average_best_absolute_distance_results,0.0006951927961775605,100,l2,lbfgs,20
early_vs_late_stage,contrast,average_best_absolute_distance_results,0.0006951927961775605,100,l2,lbfgs,20
ptc_vs_mibc,contrast,average_best_absolute_distance_results,0.0006951927961775605,100,l2,sag,20
cancer_invasion,contrast,average_generation_absolute_distance_results,0.0001,100,l2,lbfgs,20
cancer_stage,contrast,average_generation_absolute_distance_results,545.5594781168514,1000,l2,sag,20
early_vs_late_stage,contrast,average_generation_absolute_distance_results,0.0006951927961775605,100,l2,saga,20
ptc_vs_mibc,contrast,average_generation_absolute_distance_results,0.0006951927961775605,100,l2,sag,20
cancer_invasion,contrast,average_mean_absolute_distance_results,0.08858667904100823,100,l2,liblinear,20
cancer_stage,contrast,average_mean_absolute_distance_results,4.281332398719396,100,l1,saga,20
early_vs_late_stage,contrast,average_mean_absolute_distance_results,0.0018329807108324356,100,l2,sag,20
ptc_vs_mibc,contrast,average_mean_absolute_distance_results,0.004832930238571752,100,l2,sag,20
cancer_invasion,contrast,,11.288378916846883,1000,l2,sag,30
cancer_stage,contrast,,11.288378916846883,100,l1,liblinear,30
early_vs_late_stage,contrast,,206.913808111479,100,l2,lbfgs,30
ptc_vs_mibc,contrast,,78.47599703514607,500,l1,liblinear,30
cancer_invasion,contrast,average_best_absolute_distance_results,0.0018329807108324356,100,l2,saga,30
cancer_stage,contrast,average_best_absolute_distance_results,1.623776739188721,1000,l2,sag,30
early_vs_late_stage,contrast,average_best_absolute_distance_results,0.0018329807108324356,100,l2,sag,30
ptc_vs_mibc,contrast,average_best_absolute_distance_results,0.0006951927961775605,100,l2,saga,30
cancer_invasion,contrast,average_generation_absolute_distance_results,0.0018329807108324356,100,l2,sag,30
cancer_stage,contrast,average_generation_absolute_distance_results,0.0018329807108324356,100,l2,lbfgs,30
early_vs_late_stage,contrast,average_generation_absolute_distance_results,0.012742749857031334,100,l2,sag,30
ptc_vs_mibc,contrast,average_generation_absolute_distance_results,0.0006951927961775605,100,l2,sag,30
cancer_invasion,contrast,average_mean_absolute_distance_results,0.03359818286283781,100,l2,sag,30
cancer_stage,contrast,average_mean_absolute_distance_results,29.763514416313132,500,l1,saga,30
early_vs_late_stage,contrast,average_mean_absolute_distance_results,0.0018329807108324356,100,l2,saga,30
ptc_vs_mibc,contrast,average_mean_absolute_distance_results,0.0006951927961775605,100,l2,sag,30
cancer_invasion,contrast,,11.288378916846883,1000,l2,sag,40
cancer_stage,contrast,,11.288378916846883,100,l1,liblinear,40
early_vs_late_stage,contrast,,206.913808111479,100,l2,lbfgs,40
ptc_vs_mibc,contrast,,78.47599703514607,500,l1,liblinear,40
cancer_invasion,contrast,average_best_absolute_distance_results,0.0001,100,l2,lbfgs,40
cancer_stage,contrast,average_best_absolute_distance_results,0.0006951927961775605,100,l2,lbfgs,40
early_vs_late_stage,contrast,average_best_absolute_distance_results,0.0006951927961775605,100,l2,sag,40
ptc_vs_mibc,contrast,average_best_absolute_distance_results,0.004832930238571752,100,l2,sag,40
cancer_invasion,contrast,average_generation_absolute_distance_results,0.0006951927961775605,100,l2,saga,40
cancer_stage,contrast,average_generation_absolute_distance_results,0.0018329807108324356,100,l2,lbfgs,40
early_vs_late_stage,contrast,average_generation_absolute_distance_results,0.0006951927961775605,100,l2,sag,40
ptc_vs_mibc,contrast,average_generation_absolute_distance_results,0.0018329807108324356,100,l2,sag,40
cancer_invasion,contrast,average_mean_absolute_distance_results,0.0018329807108324356,100,l2,saga,40
cancer_stage,contrast,average_mean_absolute_distance_results,0.012742749857031334,100,l2,sag,40
early_vs_late_stage,contrast,average_mean_absolute_distance_results,0.0006951927961775605,100,l2,sag,40
ptc_vs_mibc,contrast,average_mean_absolute_distance_results,0.0006951927961775605,100,l2,saga,40
cancer_invasion,contrast,,11.288378916846883,1000,l2,sag,50
cancer_stage,contrast,,11.288378916846883,100,l1,liblinear,50
early_vs_late_stage,contrast,,206.913808111479,100,l2,lbfgs,50
ptc_vs_mibc,contrast,,78.47599703514607,500,l1,liblinear,50
cancer_invasion,contrast,average_best_absolute_distance_results,0.0018329807108324356,100,l2,sag,50
cancer_stage,contrast,average_best_absolute_distance_results,0.0018329807108324356,100,l2,sag,50
early_vs_late_stage,contrast,average_best_absolute_distance_results,0.0001,100,l2,lbfgs,50
ptc_vs_mibc,contrast,average_best_absolute_distance_results,0.0001,100,l2,lbfgs,50
cancer_invasion,contrast,average_generation_absolute_distance_results,0.0018329807108324356,100,l2,sag,50
cancer_stage,contrast,average_generation_absolute_distance_results,0.615848211066026,100,l2,sag,50
early_vs_late_stage,contrast,average_generation_absolute_distance_results,0.0006951927961775605,100,l2,sag,50
ptc_vs_mibc,contrast,average_generation_absolute_distance_results,0.0001,100,l2,lbfgs,50
cancer_invasion,contrast,average_mean_absolute_distance_results,0.012742749857031334,100,l2,sag,50
cancer_stage,contrast,average_mean_absolute_distance_results,11.288378916846883,100,l1,saga,50
early_vs_late_stage,contrast,average_mean_absolute_distance_results,0.004832930238571752,100,l2,sag,50
ptc_vs_mibc,contrast,average_mean_absolute_distance_results,0.0006951927961775605,100,l2,sag,50
